ts,red,ir,green
1680104293980608,128890.0,152814.0,11833.0
1680104293992608,128926.0,152831.0,11794.0
1680104294001608,128909.0,152854.0,11849.0
1680104294011608,128922.0,152790.0,11820.0
1680104294020608,128904.0,152824.0,11812.0
1680104294031607,128922.0,152874.0,11796.0
1680104294041607,128926.0,152844.0,11825.0
1680104294052607,128965.0,152843.0,11832.0
1680104294060607,128923.0,152823.0,11850.0
1680104294071607,128912.0,152786.0,11821.0
1680104294081607,128941.0,152842.0,11790.0
1680104294092607,128952.0,152850.0,11817.0
1680104294100607,128862.0,152859.0,11853.0
1680104294111607,128916.0,152810.0,11821.0
1680104294121607,128967.0,152843.0,11823.0
1680104294131607,128951.0,152848.0,11830.0
1680104294142607,128938.0,152800.0,11821.0
1680104294151607,128914.0,152812.0,11847.0
1680104294161607,128947.0,152790.0,11851.0
1680104294172607,128986.0,152777.0,11846.0
1680104294180607,129008.0,152770.0,11854.0
1680104294190607,129040.0,152724.0,11870.0
1680104294202608,129044.0,152733.0,11865.0
1680104294212608,129051.0,152720.0,11886.0
1680104294220608,129042.0,152690.0,11874.0
1680104294230608,129053.0,152691.0,11840.0
1680104294241608,129062.0,152710.0,11876.0
1680104294251608,128989.0,152715.0,11869.0
1680104294262607,129037.0,152782.0,11866.0
1680104294272607,128976.0,152738.0,11883.0
1680104294281607,129017.0,152734.0,11873.0
1680104294291607,128955.0,152743.0,11855.0
1680104294302607,129009.0,152762.0,11852.0
1680104294312607,128982.0,152731.0,11877.0
1680104294320607,128989.0,152779.0,11828.0
1680104294331607,128946.0,152789.0,11797.0
1680104294340607,128973.0,152812.0,11827.0
1680104294351607,128987.0,152827.0,11815.0
1680104294362607,128941.0,152881.0,11821.0
1680104294371607,128946.0,152836.0,11840.0
1680104294381608,128899.0,152834.0,11821.0
1680104294390608,128929.0,152898.0,11817.0
1680104294401608,128939.0,152830.0,11801.0
1680104294410608,128976.0,152829.0,11823.0
1680104294421608,128909.0,152819.0,11763.0
1680104294432608,128947.0,152818.0,11823.0
1680104294440607,128954.0,152810.0,11837.0
1680104294451607,128941.0,152780.0,11838.0
1680104294461607,128980.0,152807.0,11808.0
1680104294471607,129001.0,152818.0,11842.0
1680104294481607,128928.0,152845.0,11829.0
1680104294491607,128960.0,152792.0,11830.0
1680104294500607,128930.0,152775.0,11843.0
1680104294512607,128995.0,152819.0,11827.0
1680104294522607,128963.0,152763.0,11859.0
1680104294531607,128940.0,152781.0,11841.0
1680104294541607,128934.0,152765.0,11835.0
1680104294550608,128952.0,152828.0,11824.0
1680104294561608,128960.0,152789.0,11819.0
1680104294570608,128994.0,152830.0,11841.0
1680104294582608,128942.0,152811.0,11782.0
1680104294590608,128958.0,152801.0,11833.0
1680104294600608,128887.0,152828.0,11864.0
1680104294610608,128898.0,152849.0,11782.0
1680104294622608,128934.0,152850.0,11786.0
1680104294631608,128867.0,152852.0,11819.0
1680104294640608,128932.0,152816.0,11808.0
1680104294650608,128919.0,152841.0,11818.0
1680104294662608,128929.0,152842.0,11810.0
1680104294671608,128916.0,152805.0,11811.0
1680104294680608,128936.0,152801.0,11813.0
1680104294690608,128929.0,152778.0,11820.0
1680104294702608,128923.0,152826.0,11813.0
1680104294711608,128890.0,152814.0,11877.0
1680104294720608,128925.0,152774.0,11831.0
1680104294731608,128915.0,152814.0,11814.0
1680104294740608,128925.0,152797.0,11819.0
1680104294751608,128925.0,152841.0,11821.0
1680104294759607,128968.0,152820.0,11818.0
1680104294770607,128928.0,152809.0,11774.0
1680104294781607,128914.0,152809.0,11822.0
1680104294793607,128871.0,152815.0,11822.0
1680104294800607,128921.0,152807.0,11822.0
1680104294810607,128903.0,152788.0,11821.0
1680104294821607,128949.0,152830.0,11822.0
1680104294831607,128913.0,152852.0,11820.0
1680104294840607,128923.0,152770.0,11810.0
1680104294850607,128907.0,152839.0,11780.0
1680104294862607,128905.0,152879.0,11806.0
1680104294870607,128874.0,152846.0,11868.0
1680104294880607,128916.0,152807.0,11822.0
1680104294892607,128983.0,152819.0,11831.0
1680104294902607,128905.0,152805.0,11881.0
1680104294911607,128987.0,152758.0,11829.0
1680104294920608,128954.0,152779.0,11858.0
1680104294932608,128980.0,152768.0,11824.0
1680104294942608,129031.0,152692.0,11871.0
1680104294950608,129048.0,152702.0,11883.0
1680104294960608,129029.0,152669.0,11833.0
1680104294970608,129046.0,152687.0,11893.0
1680104294982608,129002.0,152692.0,11863.0
1680104294992608,129044.0,152740.0,11912.0
1680104295001608,129027.0,152678.0,11871.0
1680104295011608,128969.0,152711.0,11856.0
1680104295020608,129023.0,152705.0,11853.0
1680104295030608,128993.0,152676.0,11850.0
1680104295042608,128956.0,152741.0,11842.0
1680104295050608,128989.0,152751.0,11837.0
1680104295060608,128967.0,152768.0,11844.0
1680104295070608,128961.0,152778.0,11826.0
1680104295082608,128959.0,152795.0,11830.0
1680104295090608,128944.0,152818.0,11857.0
1680104295100608,128950.0,152801.0,11834.0
1680104295111608,128973.0,152810.0,11834.0
1680104295121608,128889.0,152857.0,11811.0
1680104295132608,128916.0,152781.0,11811.0
1680104295142608,128898.0,152805.0,11815.0
1680104295150607,128923.0,152808.0,11820.0
1680104295160607,128928.0,152822.0,11824.0
1680104295171607,128939.0,152804.0,11802.0
1680104295182607,128951.0,152826.0,11827.0
1680104295190607,128954.0,152784.0,11840.0
1680104295200607,128944.0,152835.0,11827.0
1680104295212607,128897.0,152779.0,11819.0
1680104295219607,128953.0,152737.0,11827.0
1680104295230607,128947.0,152766.0,11839.0
1680104295241607,128966.0,152786.0,11840.0
1680104295250607,128953.0,152791.0,11826.0
1680104295260607,128958.0,152760.0,11814.0
1680104295270607,128954.0,152783.0,11798.0
1680104295282608,128944.0,152789.0,11825.0
1680104295292608,128941.0,152781.0,11838.0
1680104295300608,128945.0,152768.0,11830.0
1680104295311607,128891.0,152800.0,11838.0
1680104295322607,128925.0,152806.0,11822.0
1680104295331607,128939.0,152761.0,11822.0
1680104295339607,128881.0,152777.0,11829.0
1680104295351607,128897.0,152778.0,11809.0
1680104295361607,128927.0,152733.0,11818.0
1680104295372607,128920.0,152772.0,11812.0
1680104295379607,128916.0,152731.0,11825.0
1680104295390607,128915.0,152766.0,11833.0
1680104295400607,128920.0,152806.0,11791.0
1680104295412607,128913.0,152787.0,11818.0
1680104295421607,128911.0,152795.0,11807.0
1680104295430607,128886.0,152793.0,11848.0
1680104295440607,128914.0,152720.0,11807.0
1680104295452607,128910.0,152793.0,11809.0
1680104295462608,128902.0,152773.0,11837.0
1680104295470608,128912.0,152773.0,11769.0
1680104295480608,128917.0,152734.0,11814.0
1680104295490608,128899.0,152777.0,11801.0
1680104295502608,128919.0,152768.0,11818.0
1680104295509608,128902.0,152773.0,11814.0
1680104295520608,128867.0,152780.0,11829.0
1680104295531607,128900.0,152770.0,11791.0
1680104295540608,128907.0,152772.0,11813.0
1680104295550608,128848.0,152768.0,11822.0
1680104295560608,128904.0,152765.0,11797.0
1680104295571607,128950.0,152777.0,11824.0
1680104295581607,128895.0,152808.0,11812.0
1680104295590608,128888.0,152766.0,11815.0
1680104295600607,128880.0,152772.0,11824.0
1680104295611607,128917.0,152795.0,11812.0
1680104295621607,128885.0,152791.0,11813.0
1680104295632607,128898.0,152754.0,11810.0
1680104295640608,128898.0,152769.0,11813.0
